Type;Sort;Size;Time(ns)
basic mass;heap sort;600;61700
basic mass;shell(Ciur) sort;600;25920
basic mass;shell sort;600;35080
basic mass;bubble sort;700;1882170
basic mass;bubble(Ayverson1) sort;700;2323190
basic mass;bubble(Ayverson2) sort;700;1475230
basic mass;selection sort;700;822180
basic mass;insertion sort;700;497430
basic mass;binary insertion sort;700;377920
basic mass;counting sort;700;5510
basic mass;radix sort;700;9070
basic mass;quick sort;700;85090
basic mass;merge sort;700;331050
basic mass;heap sort;700;71240
basic mass;shell(Ciur) sort;700;30370
basic mass;shell sort;700;41440
basic mass;bubble sort;800;2173610
basic mass;bubble(Ayverson1) sort;800;2959610
basic mass;bubble(Ayverson2) sort;800;1858210
basic mass;selection sort;800;1056380
basic mass;insertion sort;800;631670
basic mass;binary insertion sort;800;531510
basic mass;counting sort;800;6740
basic mass;radix sort;800;10110
basic mass;quick sort;800;96870
basic mass;merge sort;800;337140
basic mass;heap sort;800;84460
basic mass;shell(Ciur) sort;800;35200
basic mass;shell sort;800;52170
basic mass;bubble sort;900;2602790
basic mass;bubble(Ayverson1) sort;900;3888570
basic mass;bubble(Ayverson2) sort;900;2115720
basic mass;selection sort;900;1313200
basic mass;insertion sort;900;763520
basic mass;binary insertion sort;900;586860
basic mass;counting sort;900;9970
basic mass;radix sort;900;12310
basic mass;quick sort;900;128980
basic mass;merge sort;900;332950
basic mass;heap sort;900;104910
basic mass;shell(Ciur) sort;900;40810
basic mass;shell sort;900;58140
basic mass;bubble sort;1000;3718780
basic mass;bubble(Ayverson1) sort;1000;4796810
basic mass;bubble(Ayverson2) sort;1000;3011050
basic mass;selection sort;1000;1592100
basic mass;insertion sort;1000;972510
basic mass;binary insertion sort;1000;737980
basic mass;counting sort;1000;8510
basic mass;radix sort;1000;13030
basic mass;quick sort;1000;154370
basic mass;merge sort;1000;364420
basic mass;heap sort;1000;106400
basic mass;shell(Ciur) sort;1000;49060
basic mass;shell sort;1000;92450
basic mass;bubble sort;1100;3565050
basic mass;bubble(Ayverson1) sort;1100;5368340
basic mass;bubble(Ayverson2) sort;1100;3188550
basic mass;selection sort;1100;1850300
basic mass;insertion sort;1100;1127720
basic mass;binary insertion sort;1100;927900
basic mass;counting sort;1100;8010
basic mass;radix sort;1100;14680
basic mass;quick sort;1100;180960
basic mass;merge sort;1100;654500
basic mass;heap sort;1100;123760
basic mass;shell(Ciur) sort;1100;54390
basic mass;shell sort;1100;73050
basic mass;bubble sort;1200;4392860
basic mass;bubble(Ayverson1) sort;1200;6763650
basic mass;bubble(Ayverson2) sort;1200;3818960
basic mass;selection sort;1200;2499260
basic mass;insertion sort;1200;1770790
basic mass;binary insertion sort;1200;1249080
basic mass;counting sort;1200;9620
basic mass;radix sort;1200;16560
basic mass;quick sort;1200;178870
basic mass;merge sort;1200;434780
basic mass;heap sort;1200;138550
basic mass;shell(Ciur) sort;1200;60460
basic mass;shell sort;1200;91190
basic mass;bubble sort;1300;5415330
basic mass;bubble(Ayverson1) sort;1300;7991480
basic mass;bubble(Ayverson2) sort;1300;4645250
basic mass;selection sort;1300;2766280
basic mass;insertion sort;1300;1640330
